customer_id,archetype,area_type,assortment_reliability,wallet_share
1,trialist,established,0.8439754048105522,0.40383299633873676
2,trialist,established,0.7550268489743583,0.5956503601551231
3,habitual_regular,established,0.8090682230431558,0.6502809063722882
4,promo_hunter,established,0.6734205204807114,0.4411361780529438
5,trialist,established,0.648202683936052,0.4040286118681035
6,trialist,established,0.7813405782675423,0.7654083166685416
7,habitual_regular,established,0.8625339272765993,0.586115912887861
8,habitual_regular,established,0.7104990483169505,0.34359220702449
9,habitual_regular,new_society,0.8719070411419089,0.4911713058546221
10,habitual_regular,established,0.7563446928773164,0.34294125530831715
11,habitual_regular,new_society,0.7966135073156567,0.5674182660335451
12,trialist,new_society,0.9525722071453391,0.46949595403225186
13,trialist,new_society,0.9683148347113192,0.720165820553077
14,trialist,new_society,0.6715076472189998,0.5509736987856594
15,promo_hunter,new_society,0.8302933634172626,0.5921313135952924
16,trialist,new_society,0.8542222938496908,0.23152448877712908
17,habitual_regular,established,0.7981507081161724,0.5745064338358039
18,promo_hunter,established,0.9178478934038466,0.636050175124635
19,habitual_regular,established,0.7516738659141519,0.9167666479284468
20,habitual_regular,new_society,0.8369391327573478,0.9432248627460948
21,promo_hunter,established,0.756486869390356,0.13998759382218323
22,trialist,established,0.8488727622982921,0.5028754897563948
23,promo_hunter,established,0.9367616164410886,0.4956009710799312
24,trialist,established,0.6640693654668663,0.5539949885674227
25,trialist,new_society,0.9833812172208926,0.5649138334827434
26,promo_hunter,established,0.8899885789741793,0.5689185912638238
27,trialist,established,0.5631551008306006,0.33349384641889246
28,habitual_regular,new_society,0.6799751740264942,0.3838652911932837
29,promo_hunter,established,0.4564840431504632,0.17837780168860112
30,promo_hunter,new_society,0.9617002651909677,0.14798279385572685
31,promo_hunter,established,0.951516909699286,0.7772735773588386
32,power_user,established,0.9673117971680816,0.7253030274975436
33,habitual_regular,new_society,0.9554223524043892,0.7768851806385983
34,trialist,established,0.8415866554603786,0.6637779173639902
35,promo_hunter,new_society,0.7378087423313844,0.5815627499625212
